Address,Description,ID,N_rooms,Payment,Postal,Posting_info,Square,Title,Town,Type,URL,image_urls
,"Rental period from October 1, 2022 to January 26, 2023 (at least 1 month) Furnished, bright, quiet, calm, on the edge of the forest in a family residential area for the rent. Apartment was renovated in 2018, with windows in three directions and modern kitchen equipment. 70m², on the 2nd floor, 1 bedroom, 1 office, in new condition, in good condition. A maximum of 2 people, families with children welcome, smoking in the apartment are not allowed. Direct link: Offer detail/57612/3-room apartment-Bern-Felsenau-deepenau/all Bern: Moeblated apartments/Bern/Additional remarks on rent: incl. Heating, electricity, water, internet. Action price of the providers of this property rents under their own cost (or under the market price for owners). Furniture: modern, cozy. 1 double bed, 1 sofa bed. Equipment: Internet, built -in wardrobes. Washing machine & tumble dryer / tumbler (for use) balcony / terrace / garden: 2 balconies. Garden (for use) kitchen: kitchen equipment for 4 people. Separate kitchen, dishwasher, coffee machine. Bathroom / shower / toilet: 1 shower & toilet. District picture: Bernese quarters on the northern Aare Peninsula, near the forest and river. Most of the residential quarters: multi -family houses with gardens; partly commercial zone (Felsenau brewery), pronounced heights of heights. Infrastructure Quartier: school, depth expansion, forest and Aare as local recreation zones, numerous bathing opportunities in the Aare River. Public traffic: 7-minute walk to the public transport station. 5 -minute drive until Bern station station. Car: public parking. Keywords: Temporarily temporarily temporary living exposure WAZ short -term rent short -term rent short -term living transitional apartment. ************************************** Special Price - 3 Room Apartment in Bern - Felsenau/Tiefenau, Furnished, Temporary. Rental Period from October 1, 2022 to January 26, 2023 (min. 1 Month) FURNISHED, Bright, Quiet, Located on the Edge of the Forest Apartment in Family Residential Area for Intermediate Rent. Apartment was 2018, with Windows in Three Cardinal Directions and Modern Kitchen Equipment. 70m², on 2nd Floor, 1 theater, 1 home office, as good as new, in Good Condition. 2 person max., Families with Children Welcome, Smoking in apartment not allowed. Direct Link: Offer-Detail/57612/3-room apartment-Bern-Felsenau-Tiefenau/All Berne: Furnesthed-Apartments/Berne/Complementary Remarks on the Rent: Heating, Electricity, Water, Internet including Special Price the Provider Offering This property is renting out below cost price (or below market price if he is an owner). Furniture: Modern, Cosy. 1 double bed, 1 sofa bed. Equipment: Internet, Built-in Closets. Washing Machine & Tumbler (to be shared) Balcony / Terrace / Garden: 2 Balconies. Garden (to be shared) Kitchen: Kitchen Equiped for 4 Personal. Separate Kitchen, Dishwasher, Coffee Maker. Bath / Shower / Toilet: 1 Shower & Toilet. Picturing the District: Bernese District on the Northern Part of the Aare Peninsula, Near Woods and River. Residential Area with Apartment Buildings with Gardens, Partly a Trade Area (Brewery Felsenau), Strong Variations in Altitude. Public Transport: 7 min. To Walk to Public Transport Station Tiefenau. 5 min. To ride to train station Bahnhof Bern. Car: Public Parking Nearby. Keywords: Shortterm Medium Term Expat Relocation Business HR Sabbatical Workation Digitalnomad.",10004452894,3,1500.0,3004.0,23.07.2022,70.0,"Action price - 3 room apartment in Bern - Felsenau/Tiefenau, Rent in Bern - Ums AG - UntermietService - Temporary Housing - Tutti.ch",bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/aktionspreis-3-zi-wohnung-in-bern-felsenau-tiefenau/10004452894,"https://c.tutti.ch/images/1000025242332.jpg,https://c.tutti.ch/images/1000025242333.jpg,https://c.tutti.ch/images/1000025242330.jpg,https://c.tutti.ch/images/1000025242331.jpg,https://c.tutti.ch/images/1000025242334.jpg,https://c.tutti.ch/images/1000025242332.jpg"
Cäcilienstrasse ,"High parterre, fully furnished one-room apartment, approx. 24 sqm, centrally and yet quiet, with southern balcony, internet, parquet, bed approx. 2 x 1.6m, 3-door tall cabinet, desk and dining area as well as small kitchen corner with tall cabinet,Various shelves, built -in closet in the entrance area, sanitary area: private toilet, shower and lavabo bus and tram in the immediate vicinity;5 min. To a supermarket, approx. 7 minutes to the island hospital;By bike about 10 minutes to the city center and university;With bus/tram 5 minutes to the main station deposit 2 monthly rents, additional costs (NK) 100 CHF.Also request by SMS or similar, calls back or for the desired date, Mobil 0049 152 22 66 35 24 or I.M-Eller*GMX*ch best in German or possibly also English",49895815,1,975.0,3007.0,24.07.2022,24.0,"from 01/23 1-z.-studio calm, Möbl.Bber Central, EC Südbalkon Rent in Bern-Tutti.ch",bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/ab-01-23-1-z-studio-ruhig-moebl-bern-zentral-eg-suedbalkon/49895815,"https://c.tutti.ch/images/5356072388.jpg,https://c.tutti.ch/images/5361719886.jpg,https://c.tutti.ch/images/5358352216.jpg,https://c.tutti.ch/images/5303248639.jpg,https://c.tutti.ch/images/5340217736.jpg"
Greyerzstrasse ,"Central apartment in Lorraine.Available from August 16 or September 1, 2022",53656170,2.5,1420.0,3013.0,25.07.2022,66.0,Rent a 2.5 -room apartment in Lorraine Quartier in Bern - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/2-5-zimmer-wohnung-im-lorraine-quartier/53656170,"https://c.tutti.ch/images/9782867110.jpg,https://c.tutti.ch/images/9791390429.jpg,https://c.tutti.ch/images/9739058529.jpg,https://c.tutti.ch/images/9774343791.jpg,https://c.tutti.ch/images/9747581848.jpg"
,"Rental period from November 1, 2022 to January 2, 2023 (at least 1 month) Centrally located, completely furnished 2-room apartment with a modern expansion standard (renovated 2016). Bus stop <10 min to the BHF) 1 min, shopping opportunities 200m. 55m², on the 1st floor, 1 bedroom, in a new building, in new condition, in good condition. A maximum of 2 people, not suitable for families with children, do not allow pets, smoking in the apartment is not allowed. Direct link: Offer detail/57620/2-room apartment-Bern-Breitenrain/all Bern: Moeblated apartments/Bern/Additional comments on rent: incl. Heating, electricity, water, internet. WIN Price The provider of this property rents for cost (or at the market price for owners). Furniture: modern, in Ikea style, cozy. 1 double bed. Equipment: Internet. Washing machine & tumble dryer / tumbler (for use) balcony / terrace / garden: 1 balcony. Kitchen: separate kitchen, dishwasher, coffee machine. Bathroom / shower / toilet: 1 shower & toilet. Quotation picture: central, northern Bernese quarters, east of the Aare. Popular residential area: Renovated old-fashioned apartment buildings with gardens, reibled multi-family houses and high-rise buildings (Wankdorf) / trade fair and sports facilities (Stade de Suisse) in the eastern part. Public traffic: 1-minute walk to the public transport station Bern, Breitfeld. 7 minutes to drive to Bern. Car: motorway entrance nearby. Keywords: Temporarily temporarily temporary living exposure WAZ short -term rent short -term rent short -term living transitional apartment. *************************************** 2 Room apartment in Bern - Breitenrain, Furnished, Temporary. Rental Period from November 1, 2022 to January 2, 2023 (min. 1 Month) Centrally Located, Fully Furished 2-Room Apartment with Modern Finishing Standard (Renovated 2016). Bus stop <10 min to the station). For 1 min, shopping facilities 200m. 55m², on 1st Floor, 1 Bedroom, in New Building, As Good as New, in Good Condition. 2 person max., Not suitible for families with children, pets not allowed, tuxedo in apartment not allowed. Direct Link: Offer-detail/57620/2-room apartment-Bern-Breitenrain/All Berne: Furnesthed Apartments/Berne/Complementary Remarks on the Rent: Heating, Electricity, Water, Win Price the Provider Offering This Property Is rening out at his own cost (resp. At market price if he is an owner) with no Surcharge for Furnishings. Furniture: Modern, Ikea Style, Cosy. 1 double bed. Equipment: Internet. Washing Machine & Tumbler (to be shared) Balcony / Terrace / Garden: 1 Balcony. Kitchen: separate kitchen, Dishwasher, coffee maker. Bath / Shower / Toilet: 1 Shower & Toilet. Picturing the District: Central District in the North of Berne, East of the Aare. Popular Residential Neighbourhood, Renovated Old-Fashioned Apartment Buildings, Townhouses (Breitfeld), Multistorey Buildings (Wankdorf) / Trade & Fair and Facilities in the East of the Quarter. Public Transport: 1 min. To Walk to Public Transport Station Bern, Breitfeld. 7 minutes to ride to train station Bern. Car: Access to Motorway. Keywords: Shortterm Medium Term Expat Relocation Business HR Sabbatical Workation Digitalnomad.",10004454214,2,1500.0,3014.0,25.07.2022,55.0,"2 room apartment in Bern - Breitenrain, furnished, temporarily in Bern - Ums AG - Submitterservice - Temporary Housing - Tutti.ch",bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/2-zi-wohnung-in-bern-breitenrain-moebliert-temporaer/10004454214,"https://c.tutti.ch/images/1000025249179.jpg,https://c.tutti.ch/images/1000025249178.jpg,https://c.tutti.ch/images/1000025249180.jpg,https://c.tutti.ch/images/1000025249181.jpg,https://c.tutti.ch/images/1000025249177.jpg,https://c.tutti.ch/images/1000025249179.jpg"
Hopfenweg ,"This beautiful 2,5 room apartment (Hopfenweg 39, 3007 Bern) in the popular Mattenhof district will be released from 20.08.2022 (or by appointment on 01.09.2022/15.09.2022) for the permanent rent. Rent 1332chf/month. The apartment is located in the high parterre, is 52 m² in size and has two beautiful, bright rooms with large windows and parquet floor. It has a beautiful white fitted kitchen with a new dishwasher and enough space for a dining table. The hallway is spacious and offers space for hall furniture such as a large shoe cabinet etc. In the basement there is a basement room that belongs to the apartment and a laundry room with washing machine, dryer and drying room for use. It belongs to the apartment that invites you to gardening or lingering. By appointment, 4 beds in the front yard can be taken over by the previous tenant (previously cultivation of herbs, tomatoes and berries). The back yard with access over the basement is available for co -use (for example for grilling in summer). The apartment is very well located. It is 3 minutes from Eigerplatz, where there is a shopping facility (Migros, Coop), restaurants and a tram and bus connection to the main train station (5min). In 15 minutes of footpath you are at the island hospital, in the old town, at the main train station and on the Aare. For joggers it is a great location that offers many beautiful running routes. In addition: if you have a cat friend, you will love your new home. The Mattenhofquartier is known for its many domestic cats that have free access. If you are interested, please contact me () The sightseeing dates are on Saturday and Sunday 30/31/201/2022 by appointment.",10004452495,2.5,1332.0,3007.0,23.07.2022,52.0,Apartment Beautiful 2.5 room apartment in Mattenhofquartier Rent in Bern - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/wohnung-schoene-2-5-zimmerwohnung-im-mattenhofquartier-ab/10004452495,"https://c.tutti.ch/images/1000025240263.jpg,https://c.tutti.ch/images/1000025240261.jpg,https://c.tutti.ch/images/1000025240262.jpg,https://c.tutti.ch/images/1000025240264.jpg,https://c.tutti.ch/images/1000025240265.jpg,https://c.tutti.ch/images/1000025240263.jpg"
Bümplizstrasse ,"Welcome to your new apartment!We rent a charming 2 -room altitude apartment on the 1st floor with - laminate floor - separated kitchen with dining area - glass ceramic stove and large refrigerator - shower/toilet - small balcony - integrating cabinet - basement compartment - no lift - approx. 54 m2 living spaceThe property is located in the Bümpliz-Süd station, from where there are good train connections to the city center.Would you like a tour?We look forward to your call!",10004450895,2,1220.0,3018.0,22.07.2022,54.0,Charming 2-room old building at the Bümpliz-Süd train station in Bern-BDO AG Bern-Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/charmante-2-zimmer-altbauwohnung-beim-bahnhof-buempliz-sued/10004450895,"https://c.tutti.ch/images/1000025231465.jpg,https://c.tutti.ch/images/1000025231466.jpg,https://c.tutti.ch/images/1000025231467.jpg,https://c.tutti.ch/images/1000025231469.jpg,https://c.tutti.ch/images/1000025231468.jpg,https://c.tutti.ch/images/1000025231465.jpg"
Landoltstrasse ,"We rent our beautiful 3-room apartment at Landoltstrasse 9 from mid-September to the end of December (or by appointment).High parterre, fully furnished, beautiful balcony with a view of the green, bike bottom.Coop and bus/tram stop (Sulgenau) in a few minutes on foot.In 5 minutes you are by bike both in the Marzili on the Aare and at the train station.Monthly 1670.- incl. NK.",53397766,3.5,1670.0,3007.0,22.07.2022,80.0,Beautiful 3-room apartment near the Aare at the Landoltstrass in Bern- Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/schoene-3-zimmer-wohnung-nahe-der-aare-an-der-landoltstrass/53397766,"https://c.tutti.ch/images/8166177095.jpg,https://c.tutti.ch/images/8172808291.jpg,https://c.tutti.ch/images/8154673811.jpg,https://c.tutti.ch/images/8181331610.jpg,https://c.tutti.ch/images/8180243768.jpg"
Simonstrasse ,"From September 12th, my pretty 3.5 room apartment in the back of Länggasse will be released.The apartment has the following advantages: · Freshly renovated in winter 21/22 (including impact sound insulation & new windows) · New kitchen with dishwasher, oven and glass ceramic stove · New bathroom/toilet with bathtub · Beautiful floors with fishbear parquet and ceramic tiles · Own wash dryer in the bathroom(must be adopted) · Insubturns · Quiet location with balcony on green courtyard · Keller & estric compartment · Additional laundry room · Very pleasant neighborhood Please note that the apartment is suitable for a maximum of 2 people I look forward to your contact!",10004454437,3.5,2050.0,3012.0,25.07.2022,74.0,Renovated 3.5 room old building in Bern Rent - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/renovierte-3-5-zimmer-altbauwohnung/10004454437,"https://c.tutti.ch/images/1000025250665.jpg,https://c.tutti.ch/images/1000025250664.jpg,https://c.tutti.ch/images/1000025250662.jpg,https://c.tutti.ch/images/1000025250663.jpg,https://c.tutti.ch/images/1000025250661.jpg,https://c.tutti.ch/images/1000025250665.jpg"
Funkerstrasse ,"As of August 1, 2022 or by appointment, we rent new 1 1/2 room attic apartments with 55 m2 - modern kitchen - bathroom with toilet/shower (with glass partition) - bathroom, plate floor, living area/kitchen parquet floor - wall cabinets - balcony 7 m2 - basement compartment- Lift The property is located near the rose garden, public transport connections, shopping facilities, Wankdorf.Do not hesitate and arrange a viewing date by email or contact form.",10004454503,1.5,1468.0,3013.0,25.07.2022,55.0,Pent apartment - after overall renovation - near Rosengarten in Bern Rent - Fambau - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/dachwohnung-nach-gesamtsanierung-naehe-rosengarten/10004454503,"https://c.tutti.ch/images/1000025251156.jpg,https://c.tutti.ch/images/1000025251155.jpg,https://c.tutti.ch/images/1000025251158.jpg,https://c.tutti.ch/images/1000025251157.jpg,https://c.tutti.ch/images/1000025251159.jpg,https://c.tutti.ch/images/1000025251156.jpg"
Kramgasse ,"The property is in a very central location.Public transport and shopping are in the immediate vicinity.There is no lift in the property.Beautiful old town apartment with high rooms, wooden walls and belt floor.The apartment has a kitchen with contemporary comfort.It has a bath and a separate toilet.Roof terrace for co -use.",10004454690,3,1980.0,3011.0,25.07.2022,0.0,"3 -room apartment, Rent 2nd floor in Bern - Messerli Mariella - Tutti.ch",bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/3-zimmerwohnung-2-stock/10004454690,"https://c.tutti.ch/images/1000025251990.jpg,https://c.tutti.ch/images/1000025251993.jpg,https://c.tutti.ch/images/1000025251992.jpg,https://c.tutti.ch/images/1000025251991.jpg,https://c.tutti.ch/images/1000025251994.jpg,https://c.tutti.ch/images/1000025251990.jpg"
Looslistrasse ,The apartment building without a lift is located on a child -friendly and central location.Shops and connections to public transport can be reached in a few minutes' walk.The 1 -room apartment has: - balcony - kitchen with granite cover + glass ceramic hob - shower with toilet + lavabo - plate/laminate flooring - cellar compartment interested?We are looking forward to your contact.,10004454830,1,1040.0,3027.0,25.07.2022,30.0,Rent a beautiful apartment in Bern -Bethlehem in Bern - Alain Pete - Tutti.ch,bern,Rental offers,https://www.tutti.ch/de/vi/bern/immobilien/wohnungen/schoene-wohnung-in-bern-bethlehem/10004454830,"https://c.tutti.ch/images/1000025252677.jpg,https://c.tutti.ch/images/1000025252676.jpg,https://c.tutti.ch/images/1000025252673.jpg,https://c.tutti.ch/images/1000025252674.jpg,https://c.tutti.ch/images/1000025252675.jpg,https://c.tutti.ch/images/1000025252677.jpg"
